1,Axis Mutual Fund,Axis Bluechip Fund,Direct,Growth,Open Ended Schemes,Equity Scheme,Large Cap Fund,120465,Large Cap Fund
2,Franklin Templeton Mutual Fund,Franklin India Feeder - Franklin U.S. Opportunities Fund,Direct,Growth,Open Ended Schemes,Other Scheme,FoF Overseas,116633,FoF Overseas - US
3,Mirae Asset Mutual Fund,Mirae Asset Emerging Bluechip Fund,Direct,Growth,Open Ended Schemes,Equity Scheme,Large & Mid Cap Fund,118834,Large & Mid Cap Fund
4,Canara Robeco Mutual Fund,Canara Robeco Bluechip Equity Fund,Direct,Growth,Open Ended Schemes,Equity Scheme,Large Cap Fund,118269,Large Cap Fund
5,Motilal Oswal Mutual Fund,Motilal Oswal Nasdaq 100 Fund of Fund,Direct,Growth,Open Ended Schemes,Other Scheme,FoF Domestic,145552,FoF Overseas - US
6,Edelweiss Mutual Fund,Edelweiss Greater China Equity Off-shore Fund,Direct,Growth,Open Ended Schemes,Other Scheme,FoF Overseas,140243,FoF Overseas - China
7,ICICI Prudential Mutual Fund,ICICI Prudential US Bluechip Equity Fund,Direct,Growth,Open Ended Schemes,Equity Scheme,Sectoral/ Thematic,120186,FoF Overseas - US
8,SBI Mutual Fund,SBI BANKING & FINANCIAL SERVICES FUND,Direct,Growth,Open Ended Schemes,Equity Scheme,Sectoral/ Thematic,133859,Sectoral - Banking
9,Axis Mutual Fund,Axis Focused 25 Fund,Direct,Growth,Open Ended Schemes,Equity Scheme,Focussed Fund,120468,Focussed Fund
10,Axis Mutual Fund,Axis Growth Opportunities Fund,Direct,Growth,Open Ended Schemes,Equity Scheme,Large & Mid Cap Fund,145110,Large & Mid Cap Fund
11,L&T Mutual Fund,L&T Emerging Businesses Fund,Direct,Growth,Open Ended Schemes,Equity Scheme,Small Cap Fund,129220,Small Cap Fund
12,Axis Mutual Fund,Axis Midcap Fund,Direct,Growth,Open Ended Schemes,Equity Scheme,Mid Cap Fund,120505,Mid Cap Fund
13,Axis Mutual Fund,Axis Small Cap Fund,Direct,Growth,Open Ended Schemes,Equity Scheme,Small Cap Fund,125354,Small Cap Fund
14,Invesco Mutual Fund,Invesco India Contra Fund,Direct,Growth,Open Ended Schemes,Equity Scheme,Contra Fund,120348,Contra Fund
15,Kotak Mahindra Mutual Fund,Kotak Gold Fund Growth,Direct,Growth,Open Ended Schemes,Other Scheme,FoF Domestic,119781,Gold Fund
16,SBI Mutual Fund,SBI GOLD FUND,Direct,Growth,Open Ended Schemes,Other Scheme,FoF Domestic,119788,Gold Fund
17,Kotak Mahindra Mutual Fund,Kotak Global Emerging Market Fund,Direct,Growth,Open Ended Schemes,Other Scheme,FoF Overseas,119779,FoF Overseas - EM
